Start Date,End Date,Location Name,Location Type,Disease Type,Deaths,Longitude,Latitude
28.09.1881,,Aden,City,Cholera,,45.0354719000,12.8097990000
26.08.1889,,Al shehri (Benishehr),District,Plague,,41.9166670000,19.1166670000
10.09.1889,,Aden,City,Cholera,,45.0354719000,12.8097990000
13.11.1891,,Al Hudaydah,City,Cholera,,42.9713211000,14.7890490000
24.11.1891,,Al Luḩayyah,City,Cholera,,42.6928719000,15.7035400000
01.12.1891,,'Asir Region,City,Cholera,,43.0000000000,19.0000000000
01.12.1891,,Abha,District,Cholera,,42.4994758000,18.2170493000
01.12.1891,,Al Qunfudhah,District,Cholera,,41.0785710000,19.1257510000
01.12.1891,,Al Hudaydah,District,Cholera,,42.9713211000,14.7890490000
01.12.1891,,Muhayil,District,Cholera,,42.0500000000,18.5500000000
03.07.1892,,Aden,City,Cholera,,45.0354719000,12.8097990000
01.10.1892,,Al Hudaydah,City,Cholera,,42.9713211000,14.7890490000
09.10.1892,,Al Luḩayyah,City,Cholera,,42.6928719000,15.7035400000
22.09.1892,,Bayt al-Faqih,Town,Cholera,,43.3195230000,14.5131540000
10.04.1894,,Sana'a,City,Cattle Plague,,44.2063890000,15.3483330000
23.07.1893,,'Asir Region,City,Plague,,43.0000000000,19.0000000000
09.08.1893,,Al shehri (Benishehr),District,Plague,,41.9166670000,19.1166670000
11.03.1894,,Kawkaban,District,Cattle Plague,,43.9000000000,15.5000000000
11.03.1894,,`Amran,District,Cattle Plague,,43.9443440000,15.6598450000
27.08.1893,,Al Hudaydah,City,Cholera,,42.9713211000,14.7890490000
23.07.1894,,'Asir Region,City,Plague,,43.0000000000,19.0000000000
19.03.1895,,Al shehri (Benishehr),District,Plague,,41.9166670000,19.1166670000
22.12.1896,,'Asir Region,City,Plague,,43.0000000000,19.0000000000
22.12.1896,,Al Luḩayyah,City,Plague,,42.6928719000,15.7035400000
26.02.1900,,'Asir Region,City,Plague,,43.0000000000,19.0000000000
19.01.1900,,Al shehri (Benishehr),City,Plague,,41.9166670000,19.1166670000
26.04.1900,,Al Luḩayyah,City,Plague,,42.6928719000,15.7035400000
29.09.1901,,Al shehri (Benishehr),City,Plague,,41.9166670000,19.1166670000
13.09.1902,,Al Hudaydah,City,Cholera,2,42.9713211000,14.7890490000
10.11.1902,,Turku,Village,Plague,,,
03.06.1902,,Al shehri (Benishehr),City,Plague,,41.9166670000,19.1166670000
23.05.1902,,Sabya,District,Cholera,,42.6258330000,17.1488890000
22.11.1902,,Muhayil,District,Cholera,,42.0500000000,18.5500000000
01.01.1905,,Aden,City,Cholera,,45.0354719000,12.8097990000
24.07.1905,,Qatar,District,Plague,,51.2500000000,25.5000000000
27.07.1905,,Annadira,Village,Plague,,,
27.07.1905,,Perim,Island,Plague,,43.4200000000,12.6600000000
27.07.1905,,Dhamar,District,Plague,,44.3777615000,14.5750897000
06.06.1910,,Al Luḩayyah,City,Plague,,42.6928719000,15.7035400000
19.02.1911,,Al Hudaydah,City,Cholera,,42.9713211000,14.7890490000
16.08.1911,,Al Luḩayyah,City,Cholera,,42.6928719000,15.7035400000
21.06.1913,,Aden,City,Plague,,45.0354719000,12.8097990000
27.01.1914,,Aden,City,Plague,,45.0354719000,12.8097990000
